中文名称,英文全称,PubChem CID
β-谷甾醇,BETA-SITOSTEROL,222284
甜菜碱,BETAINE,247
甜菜碱水杨酸盐,BETAINE SALICYLATE,71587021
桦木脑,BETULIN,72326
生物素,BIOTIN,171548
溴氯芬,BROMOCHLOROPHENE,84907
溴甲酚绿,BROMOCRESOL GREEN,6451
溴百里酚蓝,BROMOTHYMOL BLUE,6450
布美三唑,BUMETRIZOLE,62531
丁氧基双甘醇,BUTOXYDIGLYCOL,8177
苯甲酸丁酯,BUTYL BENZOATE,8698
丁基甲氧基二苯甲酰基甲烷,BUTYL METHOXYDIBENZOYLMETHANE,51040
肉豆蔻酸丁酯,BUTYL MYRISTATE,8047
硬脂酸丁酯,BUTYL STEARATE,31278
羟苯丁酯,BUTYLPARABEN,7184
咖啡酸,CAFFEIC ACID,689043
咖啡因,CAFFEINE,2519
抗坏血酸钙,CALCIUM ASCORBATE,54740489
泛酰巯基乙胺磺酸钙,CALCIUM PANTETHEINE SULFONATE,182206
泛酸钙,CALCIUM PANTOTHENATE,443753
PCA 钙,CALCIUM PCA,14559044
巯基乙酸钙,CALCIUM THIOGLYCOLATE,13141
大麻酚,CANNABINOL,2543
癸酸,CAPRIC ACID,2969
己酸,CAPROIC ACID,8892
辛酸,CAPRYLIC ACID,379
辣椒碱,CAPSAICIN,1548943
羧甲基半胱氨酸,CARBOCYSTEINE,193653
肉碱盐酸盐,CARNITINE HCL,656657
肉碱酒石酸盐,CARNITINE TARTRATE,57349413
鼠尾草酸,CARNOSIC ACID,65126
香芹酚,CARVACROL,10364
雪松醇,CEDROL,65575
西曲溴铵,CETRIMONIUM BROMIDE,5974
西曲氯铵,CETRIMONIUM CHLORIDE,8154
西曲铵甲基硫酸盐,CETRIMONIUM METHOSULFATE,103114
西曲铵糖精盐,CETRIMONIUM SACCHARINATE,64784
鲸蜡醇乙酸酯,CETYL ACETATE,12393
鲸蜡醇,CETYL ALCOHOL,2682
鲸蜡基甜菜碱,CETYL BETAINE,93554
鲸蜡醇辛酸酯,CETYL CAPRYLATE,448864
鲸蜡醇月桂酸酯,CETYL LAURATE,88709
鲸蜡醇肉豆蔻酸酯,CETYL MYRISTATE,75779
鲸蜡醇油酸酯,CETYL OLEATE,5377655
鲸蜡醇棕榈酸酯,CETYL PALMITATE,10889
鲸蜡醇磷酸酯,CETYL PHOSPHATE,19059
鲸蜡醇硬脂酸酯,CETYL STEARATE,70924
西吡氯铵,CETYLPYRIDINIUM CHLORIDE,31239
母菊薁,CHAMAZULENE,10719
鲛肝醇,CHIMYL ALCOHOL,10448487
氯己定,CHLORHEXIDINE,9552079
氯己定二乙酸盐,CHLORHEXIDINE DIACETATE,9562059
氯己定二葡糖酸盐,CHLORHEXIDINE DIGLUCONATE,9552081
氯己定二盐酸盐,CHLORHEXIDINE DIHYDROCHLORIDE,9571016
三氯叔丁醇,CHLOROBUTANOL,5977
氯二甲酚,CHLOROXYLENOL,2723
胆甾醇,CHOLESTEROL,5997
"5,7-二羟基黄酮",CHRYSIN,5281607
肉桂醛,CINNAMAL,637511
肉桂醇,CINNAMYL ALCOHOL,5315892
西诺沙酯,CINOXATE,5373773
柠檬酸,CITRIC ACID,311
瓜氨酸,CITRULLINE,9750
卤卡班,CLOFLUCARBAN,9719
PCA 铜,COPPER PCA,22873142
香豆素,COUMARIN,323
肌酸,CREATINE,586
姜黄素,CURCUMIN,969516
维生素 B12,CYANOCOBALAMIN,166596686
环十五烷酮,CYCLOPENTADECANONE,10409
半胱氨酸,CYSTEINE,5862
胞嘧啶,CYTOSINE,597
