中文名称,英文全称,PubChem CID
硫胺素盐酸盐,THIAMINE HCL,6202
硝酸硫胺素,THIAMINE NITRATE,10762
噻唑基丙氨酸,THIAZOLYLALANINE,2761495
亚硫基二乙酸,THIODIGLYCOLIC ACID,31277
硫代二丙酸,THIODIPROPIONIC ACID,8096
巯基乙酸,THIOGLYCOLIC ACID,1133
硫代牛磺酸,THIOTAURINE,6858023
苏氨酸,THREONINE,6288
胸腺嘧啶,THYMINE,1135
麝香草酚,THYMOL,6989
噻克索酮,TIOXOLONE,72139
托萘酯,TOLNAFTATE,5510
海藻糖,TREHALOSE,7427
三花生精,TRIARACHIDIN,522017
三辛精,TRICAPRYLIN,10850
三氯卡班,TRICLOCARBAN,7547
三氯生,TRICLOSAN,5564
三甘醇,TRIETHYLENE GLYCOL,8172
三月桂精,TRILAURIN,10851
三月桂基胺,TRILAURYLAMINE,7624
三亚油精,TRILINOLEIN,5322095
三亚麻精,TRILINOLENIN,5462874
三肉豆蔻精,TRIMYRISTIN,11148
三棕榈精,TRIPALMITIN,11147
EDTA 三钾,TRIPOTASSIUM EDTA,62717
EDTA 三钠,TRISODIUM EDTA,9008
甘草酸三钠,TRISODIUM GLYCYRRHIZATE,24838409
三硬脂精,TRISTEARIN,11146
环庚三烯酚酮,TROPOLONE,10789
色氨酸,TRYPTOPHAN,6305
酪氨酸,TYROSINE,6057
伞形花内酯,UMBELLIFERONE,5281426
尿嘧啶,URACIL,1174
尿素,UREA,1176
过氧化脲,UREA PEROXIDE,31294
尿酸,URIC ACID,1175
熊果酸,URSOLIC ACID,64945
缬氨酸,VALINE,6287
香兰素,VANILLIN,1183
香兰基丁基醚,VANILLYL BUTYL ETHER,5084146
汉黄芩素,WOGONIN,5281703
黄嘌呤,XANTHINE,1188
黄蝶呤,XANTHOPTERIN,135403800
木糖醇,XYLITOL,6912
月桂酸锌,ZINC LAURATE,17144
肉豆蔻酸锌,ZINC MYRISTATE,159785
棕榈酸锌,ZINC PALMITATE,9829659
PCA 锌,ZINC PCA,11602214
水杨酸锌,ZINC SALICYLATE,54693468
硬脂酸锌,ZINC STEARATE,11178
